time,ro0,ro1,ro2,ro3,ro4,ro5,ro6,ro7,
0.00000000e+00,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
1.00000000e-13,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
2.00000000e-13,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
4.00000000e-13,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
8.00000000e-13,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
1.60000000e-12,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
3.20000000e-12,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
6.40000000e-12,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
1.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
2.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
3.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
4.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
5.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
6.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
7.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
8.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
9.28000000e-11,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
1.00000000e-10,1.19999828e+00,1.19999825e+00,1.19999804e+00,1.19999839e+00,1.19999833e+00,1.19999808e+00,1.19999811e+00,1.19999805e+00,
1.01000000e-10,1.20030936e+00,1.20031586e+00,1.20028101e+00,1.20030126e+00,1.20030475e+00,1.20031621e+00,1.20030411e+00,1.20032076e+00,
1.03000000e-10,1.20071360e+00,1.20072840e+00,1.20065014e+00,1.20068665e+00,1.20069786e+00,1.20073881e+00,1.20070961e+00,1.20074776e+00,
1.07000000e-10,1.20081574e+00,1.20083215e+00,1.20074983e+00,1.20075574e+00,1.20077950e+00,1.20087905e+00,1.20084185e+00,1.20088538e+00,
1.15000000e-10,1.20050615e+00,1.20052019e+00,1.20048954e+00,1.20043153e+00,1.20045848e+00,1.20060337e+00,1.20057805e+00,1.20062106e+00,
1.25000000e-10,1.20004481e+00,1.20004548e+00,1.20018448e+00,1.20005015e+00,1.20004928e+00,1.20007926e+00,1.20009305e+00,1.20010675e+00,
1.35000000e-10,1.19920748e+00,1.19919656e+00,1.19950036e+00,1.19936344e+00,1.19930193e+00,1.19911008e+00,1.19914191e+00,1.19914500e+00,
1.45000000e-10,1.19819973e+00,1.19818890e+00,1.19852164e+00,1.19854464e+00,1.19839116e+00,1.19795453e+00,1.19795876e+00,1.19801223e+00,
1.55000000e-10,1.19703199e+00,1.19698550e+00,1.19738685e+00,1.19765049e+00,1.19736077e+00,1.19658455e+00,1.19655449e+00,1.19662316e+00,
1.65000000e-10,1.19523722e+00,1.19512381e+00,1.19571237e+00,1.19626302e+00,1.19576610e+00,1.19452704e+00,1.19449055e+00,1.19452478e+00,
1.75000000e-10,1.19291494e+00,1.19274742e+00,1.19358698e+00,1.19429858e+00,1.19362405e+00,1.19195854e+00,1.19202916e+00,1.19192154e+00,
1.85000000e-10,1.19041862e+00,1.19014018e+00,1.19129951e+00,1.19207354e+00,1.19122722e+00,1.18923764e+00,1.18946318e+00,1.18918018e+00,
1.95000000e-10,1.18790199e+00,1.18745642e+00,1.18881303e+00,1.18965143e+00,1.18867679e+00,1.18658869e+00,1.18706024e+00,1.18646889e+00,
2.00000000e-10,1.18681275e+00,1.18626353e+00,1.18755076e+00,1.18841327e+00,1.18745975e+00,1.18551385e+00,1.18616374e+00,1.18532842e+00,
2.01000000e-10,1.18628257e+00,1.18570373e+00,1.18699468e+00,1.18785109e+00,1.18690136e+00,1.18498338e+00,1.18568201e+00,1.18477885e+00,
2.03000000e-10,1.18547348e+00,1.18485166e+00,1.18610994e+00,1.18699056e+00,1.18604463e+00,1.18417338e+00,1.18495292e+00,1.18395254e+00,
2.07000000e-10,1.18502866e+00,1.18440073e+00,1.18542494e+00,1.18645731e+00,1.18553256e+00,1.18376345e+00,1.18462848e+00,1.18362013e+00,
2.15000000e-10,1.18665500e+00,1.18621825e+00,1.18640982e+00,1.18776528e+00,1.18700095e+00,1.18570103e+00,1.18654419e+00,1.18593649e+00,
2.25000000e-10,1.19049387e+00,1.19040483e+00,1.18950141e+00,1.19098826e+00,1.19063437e+00,1.19003873e+00,1.19068622e+00,1.19069362e+00,
2.35000000e-10,1.19399120e+00,1.19413096e+00,1.19273656e+00,1.19409510e+00,1.19406663e+00,1.19385758e+00,1.19427806e+00,1.19460846e+00,
2.45000000e-10,1.19625202e+00,1.19645778e+00,1.19518015e+00,1.19623541e+00,1.19633649e+00,1.19622265e+00,1.19649867e+00,1.19683395e+00,
2.55000000e-10,1.19778197e+00,1.19793964e+00,1.19703678e+00,1.19760574e+00,1.19779146e+00,1.19775228e+00,1.19795905e+00,1.19808098e+00,
2.65000000e-10,1.19883562e+00,1.19892199e+00,1.19839064e+00,1.19862794e+00,1.19880723e+00,1.19879588e+00,1.19893237e+00,1.19891664e+00,
2.75000000e-10,1.19941361e+00,1.19945839e+00,1.19917454e+00,1.19927792e+00,1.19939228e+00,1.19938715e+00,1.19946085e+00,1.19941993e+00,
2.85000000e-10,1.19969968e+00,1.19971969e+00,1.19957845e+00,1.19961691e+00,1.19968360e+00,1.19968195e+00,1.19972196e+00,1.19968014e+00,
2.95000000e-10,1.19985457e+00,1.19986154e+00,1.19979449e+00,1.19980169e+00,1.19984125e+00,1.19984043e+00,1.19986161e+00,1.19982987e+00,
3.05000000e-10,1.19993152e+00,1.19993364e+00,1.19990191e+00,1.19990044e+00,1.19992241e+00,1.19992085e+00,1.19993151e+00,1.19991381e+00,
3.15000000e-10,1.19996719e+00,1.19996739e+00,1.19995243e+00,1.19995014e+00,1.19996213e+00,1.19996040e+00,1.19996588e+00,1.19995630e+00,
3.25000000e-10,1.19998332e+00,1.19998316e+00,1.19997374e+00,1.19997410e+00,1.19998104e+00,1.19997879e+00,1.19997943e+00,1.19997522e+00,
3.35000000e-10,1.19998459e+00,1.19998492e+00,1.19998116e+00,1.19998058e+00,1.19998471e+00,1.19998202e+00,1.19998558e+00,1.19998302e+00,
3.45000000e-10,1.19999241e+00,1.19999237e+00,1.19999758e+00,1.20000072e+00,1.19999339e+00,1.19999595e+00,1.20000882e+00,1.20001171e+00,
3.55000000e-10,1.20005552e+00,1.20006050e+00,1.20008014e+00,1.20009702e+00,1.20005792e+00,1.20007847e+00,1.20008486e+00,1.20008272e+00,
3.65000000e-10,1.20010374e+00,1.20010572e+00,1.20009012e+00,1.19992576e+00,1.20009113e+00,1.20009127e+00,1.20004110e+00,1.19988294e+00,
3.75000000e-10,1.19954171e+00,1.19946430e+00,1.19926081e+00,1.19904403e+00,1.19944257e+00,1.19934050e+00,1.19921743e+00,1.19907795e+00,
3.85000000e-10,1.19867068e+00,1.19851132e+00,1.19827580e+00,1.20002765e+00,1.19855751e+00,1.19842341e+00,1.19849800e+00,1.19965567e+00,
3.95000000e-10,1.20231782e+00,1.20305433e+00,1.20403948e+00,1.21099809e+00,1.20398043e+00,1.20395094e+00,1.20617869e+00,1.20937260e+00,
4.05000000e-10,1.21552429e+00,1.21766768e+00,1.22049104e+00,1.20734994e+00,1.21904971e+00,1.21973960e+00,1.22310317e+00,1.21149515e+00,
4.15000000e-10,1.19440260e+00,1.18802190e+00,1.18375072e+00,1.11338875e+00,1.17837967e+00,1.18473733e+00,1.17343002e+00,1.12535973e+00,
4.25000000e-10,1.07096800e+00,1.04734683e+00,1.02581868e+00,8.97887452e-01,1.01656890e+00,1.03165635e+00,9.90547416e-01,9.09861469e-01,
4.35000000e-10,8.43287284e-01,8.12856638e-01,7.78323299e-01,6.28187808e-01,7.68664917e-01,7.89330558e-01,7.29565467e-01,6.37560988e-01,
4.45000000e-10,5.76951551e-01,5.49904012e-01,5.10133133e-01,3.80650248e-01,5.03808736e-01,5.24678269e-01,4.63432596e-01,3.83980557e-01,
4.55000000e-10,3.40730241e-01,3.21612876e-01,2.83355504e-01,2.00212287e-01,2.84177983e-01,2.98874721e-01,2.49912521e-01,1.98163352e-01,
4.65000000e-10,1.74764481e-01,1.64459453e-01,1.33564594e-01,9.26916707e-02,1.39994949e-01,1.48086415e-01,1.17691371e-01,9.19565883e-02,
4.75000000e-10,8.15026200e-02,7.68619510e-02,5.62524343e-02,3.93133967e-02,6.30061192e-02,6.86233881e-02,5.41411970e-02,4.29800367e-02,
4.85000000e-10,3.82723151e-02,3.55252103e-02,2.32498728e-02,1.45038058e-02,2.71350685e-02,3.37310882e-02,2.79040129e-02,2.02216570e-02,
4.95000000e-10,1.70531310e-02,1.48511775e-02,8.69209968e-03,4.89586156e-03,1.01931814e-02,1.60230473e-02,1.39201241e-02,8.36590493e-03,
5.05000000e-10,6.71894545e-03,5.51625129e-03,3.22225951e-03,2.02223452e-03,3.71039148e-03,6.72134260e-03,6.14701232e-03,3.43141175e-03,
5.15000000e-10,2.84663963e-03,2.32395583e-03,1.53267061e-03,1.02539803e-03,1.69322348e-03,2.94704682e-03,2.82615580e-03,1.66961634e-03,
5.25000000e-10,1.43817608e-03,1.18451675e-03,7.94899383e-04,5.18121248e-04,8.57075056e-04,1.52797199e-03,1.49401092e-03,8.28142577e-04,
5.35000000e-10,7.00541455e-04,5.91107598e-04,3.94549566e-04,3.22916502e-04,4.30457360e-04,7.77510950e-04,7.62152101e-04,4.10801101e-04,
5.45000000e-10,3.60703228e-04,3.41909857e-04,2.52574792e-04,2.38344795e-04,2.80559073e-04,4.14952529e-04,4.05449317e-04,2.64167709e-04,
5.55000000e-10,2.42875763e-04,2.44682165e-04,1.90276744e-04,1.83663578e-04,2.14388675e-04,2.58981844e-04,2.48724061e-04,1.97514537e-04,
5.65000000e-10,1.81732012e-04,1.83714157e-04,1.48394693e-04,1.53889267e-04,1.68731856e-04,1.76516542e-04,1.65359254e-04,1.54312373e-04,
